Rank,Pokemon,Usage %,Raw,%,Real,%
1,Tauros,83.07%,31547,83.07%,24390,74.15%
2,Snorlax,73.63%,27964,73.63%,24012,73.01%
3,Chansey,69.77%,26498,69.77%,23562,71.64%
4,Exeggutor,62.06%,23571,62.07%,21379,65.00%
5,Starmie,48.44%,18396,48.44%,16899,51.38%
6,Alakazam,39.18%,14879,39.18%,13196,40.12%
7,Rhydon,27.96%,10619,27.96%,8926,27.14%
8,Gengar,27.60%,10483,27.60%,9797,29.79%
9,Zapdos,23.23%,8822,23.23%,7562,22.99%
10,Jynx,20.84%,7916,20.84%,7714,23.45%
11,Cloyster,16.81%,6384,16.81%,5645,17.16%
12,Jolteon,10.24%,3889,10.24%,3455,10.50%
13,Slowbro,9.49%,3605,9.49%,3017,9.17%
14,Dragonite,7.46%,2834,7.46%,2356,7.16%
15,Golem,7.34%,2789,7.34%,2343,7.12%
16,Victreebel,4.75%,1804,4.75%,1493,4.54%
17,Articuno,4.59%,1743,4.59%,1432,4.35%
18,Lapras,4.53%,1720,4.53%,1518,4.62%
19,Persian,3.97%,1509,3.97%,1184,3.60%
20,Raichu,3.35%,1273,3.35%,1209,3.68%
21,Hypno,3.14%,1192,3.14%,1135,3.45%
22,Venusaur,2.99%,1135,2.99%,954,2.90%
23,Charizard,2.98%,1130,2.98%,996,3.03%
24,Poliwrath,2.98%,1130,2.98%,899,2.73%
25,Magmar,2.40%,912,2.40%,754,2.29%
26,Gyarados,1.64%,623,1.64%,518,1.58%
27,Kingler,1.60%,607,1.60%,498,1.51%
28,Dodrio,1.59%,603,1.59%,526,1.60%
29,Pinsir,1.55%,590,1.55%,441,1.34%
30,Clefable,1.38%,524,1.38%,445,1.35%
31,Sandslash,1.36%,517,1.36%,422,1.28%
32,Electrode,1.35%,514,1.35%,471,1.43%
33,Nidoking,1.33%,506,1.33%,428,1.30%
34,Machamp,1.22%,462,1.22%,375,1.14%
35,Moltres,1.17%,446,1.17%,349,1.06%
36,Arcanine,1.17%,443,1.17%,400,1.22%
