Rank,Pokemon,Usage %   ,Raw,%       ,Real,%       
1,Landorus-Therian,33.26%,18844,33.26%,16541,36.08%
2,Dragapult,25.04%,14188,25.04%,11107,24.23%
3,Ferrothorn,23.01%,13035,23.01%,11356,24.77%
4,Garchomp,20.06%,11366,20.06%,9133,19.92%
5,Heatran,19.66%,11141,19.66%,9599,20.94%
6,Weavile,17.67%,10011,17.67%,7655,16.70%
7,Corviknight,16.98%,9621,16.98%,7812,17.04%
8,Urshifu-Rapid-Strike,16.27%,9220,16.27%,7609,16.60%
9,Clefable,15.31%,8677,15.31%,7015,15.30%
10,Tapu Lele,13.68%,7749,13.68%,6062,13.22%
11,Melmetal,13.60%,7708,13.60%,6233,13.60%
12,Zapdos,13.44%,7616,13.44%,6479,14.13%
13,Kartana,13.32%,7549,13.32%,5799,12.65%
14,Rillaboom,13.13%,7440,13.13%,5922,12.92%
15,Toxapex,12.79%,7248,12.79%,5982,13.05%
16,Tornadus-Therian,11.86%,6721,11.86%,5666,12.36%
17,Tyranitar,10.01%,5672,10.01%,4891,10.67%
18,Tapu Koko,9.93%,5628,9.93%,4691,10.23%
19,Slowbro,9.60%,5442,9.61%,4570,9.97%
20,Slowking-Galar,8.71%,4935,8.71%,4146,9.04%
21,Excadrill,8.28%,4691,8.28%,3654,7.97%
22,Blacephalon,8.21%,4653,8.21%,3455,7.54%
23,Volcarona,8.16%,4624,8.16%,3440,7.50%
24,Tapu Fini,7.59%,4301,7.59%,3673,8.01%
25,Blissey,7.19%,4072,7.19%,3317,7.24%
26,Pelipper,6.97%,3950,6.97%,3684,8.04%
27,Buzzwole,6.94%,3933,6.94%,3165,6.90%
28,Dragonite,6.25%,3540,6.25%,2627,5.73%
29,Zeraora,5.96%,3377,5.96%,2645,5.77%
30,Barraskewda,5.83%,3306,5.84%,2646,5.77%
31,Rotom-Wash,5.01%,2838,5.01%,2468,5.38%
32,Blaziken,5.01%,2837,5.01%,2162,4.72%
33,Mew,4.38%,2483,4.38%,2154,4.70%
34,Volcanion,4.31%,2440,4.31%,2033,4.44%
35,Ninetales-Alola,4.25%,2410,4.25%,2126,4.64%
36,Bisharp,4.05%,2293,4.05%,1783,3.89%
37,Hippowdon,3.95%,2236,3.95%,2007,4.38%
38,Victini,3.82%,2167,3.83%,1756,3.83%
39,Magnezone,3.80%,2154,3.80%,1746,3.81%
40,Nidoking,3.77%,2137,3.77%,1771,3.86%
41,Aegislash,3.73%,2116,3.74%,1671,3.65%
42,Scizor,3.45%,1954,3.45%,1473,3.21%
43,Crawdaunt,3.43%,1943,3.43%,1453,3.17%
44,Skarmory,3.38%,1916,3.38%,1677,3.66%
45,Hydreigon,3.26%,1845,3.26%,1421,3.10%
46,Hawlucha,3.08%,1747,3.08%,1195,2.61%
47,Hatterene,3.06%,1733,3.06%,1459,3.18%
48,Slowking,3.03%,1718,3.03%,1424,3.11%
49,Seismitoad,2.97%,1682,2.97%,1372,2.99%
50,Celesteela,2.74%,1552,2.74%,1216,2.65%
51,Torkoal,2.72%,1541,2.72%,1433,3.13%
52,Regieleki,2.65%,1500,2.65%,1203,2.62%
53,Gengar,2.52%,1429,2.52%,1103,2.41%
54,Venusaur,2.44%,1383,2.44%,1077,2.35%
55,Moltres-Galar,2.43%,1377,2.43%,1030,2.25%
56,Gastrodon,2.39%,1356,2.39%,1088,2.37%
57,Gyarados,2.33%,1319,2.33%,1088,2.37%
58,Mandibuzz,2.22%,1257,2.22%,999,2.18%
59,Chansey,2.19%,1242,2.19%,985,2.15%
60,Arctozolt,2.12%,1204,2.13%,959,2.09%
61,Swampert,1.92%,1088,1.92%,988,2.16%
62,Togekiss,1.87%,1058,1.87%,837,1.83%
63,Suicune,1.83%,1036,1.83%,851,1.86%
64,Latios,1.79%,1014,1.79%,790,1.72%
65,Porygon,1.75%,989,1.75%,835,1.82%
66,Cloyster,1.70%,964,1.70%,693,1.51%
67,Conkeldurr,1.69%,960,1.69%,738,1.61%
68,Marowak-Alola,1.58%,895,1.58%,690,1.51%
69,Zapdos-Galar,1.54%,872,1.54%,712,1.55%
70,Incineroar,1.49%,842,1.49%,721,1.57%
71,Tangrowth,1.30%,736,1.30%,616,1.34%
72,Kommo-o,1.28%,724,1.28%,590,1.29%
73,Nihilego,1.25%,708,1.25%,561,1.22%
74,Espeon,1.22%,694,1.23%,550,1.20%
75,Starmie,1.22%,690,1.22%,568,1.24%
76,Milotic,1.15%,650,1.15%,489,1.07%
77,Shuckle,1.14%,646,1.14%,604,1.32%
78,Dracozolt,1.12%,635,1.12%,509,1.11%
79,Snorlax,1.11%,630,1.11%,515,1.12%
80,Rotom-Heat,1.08%,612,1.08%,500,1.09%
81,Charizard,1.06%,602,1.06%,500,1.09%
82,Thundurus-Therian,1.06%,600,1.06%,486,1.06%
83,Azumarill,1.06%,598,1.06%,478,1.04%
84,Quagsire,1.04%,592,1.05%,431,0.94%
85,Grimmsnarl,1.04%,592,1.05%,465,1.01%
86,Mimikyu,1.03%,585,1.03%,437,0.95%
87,Cresselia,1.03%,584,1.03%,444,0.97%
88,Amoonguss,1.02%,578,1.02%,463,1.01%
89,Keldeo,1.02%,576,1.02%,463,1.01%
90,Jirachi,0.99%,560,0.99%,419,0.91%
91,Kingdra,0.97%,547,0.97%,415,0.91%
92,Obstagoon,0.91%,513,0.91%,395,0.86%
93,Umbreon,0.90%,512,0.90%,428,0.93%
94,Primarina,0.90%,508,0.90%,417,0.91%
95,Alakazam,0.86%,488,0.86%,365,0.80%
96,Aerodactyl,0.85%,482,0.85%,371,0.81%
97,Polteageist,0.85%,480,0.85%,349,0.76%
98,Shedinja,0.84%,475,0.84%,343,0.75%
99,Mamoswine,0.83%,469,0.83%,364,0.79%
100,Sableye,0.82%,466,0.82%,398,0.87%
101,Krookodile,0.82%,462,0.82%,367,0.80%
102,Metagross,0.80%,454,0.80%,359,0.78%
103,Ribombee,0.80%,454,0.80%,395,0.86%
104,Slowbro-Galar,0.80%,453,0.80%,300,0.65%
105,Lucario,0.79%,449,0.79%,350,0.76%
106,Moltres,0.78%,442,0.78%,367,0.80%
107,Scyther,0.76%,433,0.76%,361,0.79%
108,Toxtricity,0.75%,425,0.75%,338,0.74%
109,Reuniclus,0.75%,424,0.75%,328,0.72%
110,Sigilyph,0.71%,404,0.71%,307,0.67%
111,Darmanitan,0.70%,397,0.70%,322,0.70%
112,Inteleon,0.70%,395,0.70%,308,0.67%
113,Ditto,0.70%,394,0.70%,324,0.71%
114,Tapu Bulu,0.69%,391,0.69%,308,0.67%
115,Weezing-Galar,0.66%,375,0.66%,283,0.62%
116,Sylveon,0.65%,370,0.65%,286,0.62%
117,Klefki,0.65%,368,0.65%,319,0.70%
118,Necrozma,0.64%,364,0.64%,289,0.63%
119,Mr. Mime,0.63%,359,0.63%,314,0.69%
120,Latias,0.63%,357,0.63%,280,0.61%
121,Porygon-Z,0.63%,355,0.63%,279,0.61%
