Snorlax
Moves
Rest 75.234%
Double-Edge 60.856%
Curse 59.283%
Earthquake 53.581%
Sleep Talk 37.305%
Body Slam 25.191%
Self-Destruct 16.369%
Lovely Kiss 12.313%
Flamethrower 12.187%
Belly Drum 11.430%
Return 8.868%
Fire Blast 7.574%
Other 19.808%
Teammates
Zapdos 53.501%
Cloyster 51.656%
Tyranitar 32.473%
Gengar 30.627%
Raikou 25.948%
Exeggutor 22.556%
Starmie 20.159%
Skarmory 19.529%
Golem 18.354%
Forretress 15.758%
Machamp 14.982%
Checks and Counters
Zapdos
Moves
Hidden Power Ice 69.267%
Thunder 67.967%
Rest 59.339%
Sleep Talk 55.339%
Thunderbolt 35.460%
Whirlwind 23.603%
Thunder Wave 21.267%
Hidden Power Water 19.934%
Drill Peck 13.223%
Swagger 8.331%
Protect 7.570%
Other 18.700%
Teammates
Snorlax 88.815%
Cloyster 66.534%
Gengar 45.686%
Tyranitar 35.702%
Exeggutor 24.694%
Nidoking 19.438%
Golem 19.041%
Machamp 16.000%
Steelix 15.802%
Starmie 11.901%
Raikou 11.394%
Checks and Counters
Cloyster
Moves
Spikes 97.131%
Explosion 90.383%
Surf 88.026%
Toxic 81.963%
Ice Beam 19.315%
Rapid Spin 6.318%
Other 16.864%
Teammates
Snorlax 90.383%
Zapdos 70.128%
Gengar 39.280%
Tyranitar 31.115%
Exeggutor 27.538%
Golem 26.423%
Raikou 25.006%
Nidoking 19.117%
Steelix 17.364%
Machamp 13.868%
Starmie 10.964%
Checks and Counters
Tyranitar
Moves
Rock Slide 87.460%
Earthquake 53.206%
Roar 48.010%
Pursuit 44.863%
Crunch 34.988%
Curse 27.244%
Fire Blast 23.564%
Rest 20.316%
Dynamic Punch 13.955%
Screech 6.811%
Flamethrower 5.479%
Nightmare 5.362%
Thunderbolt 4.779%
Ancient Power 4.330%
Other 19.634%
Teammates
Snorlax 81.465%
Zapdos 53.955%
Cloyster 44.613%
Gengar 30.891%
Starmie 27.794%
Nidoking 21.898%
Skarmory 20.666%
Raikou 16.936%
Forretress 16.286%
Jolteon 13.072%
Machamp 12.356%
Checks and Counters
Gengar
Moves
Ice Punch 80.072%
Explosion 64.475%
Thunderbolt 61.428%
Destiny Bond 39.445%
Hypnosis 24.807%
Dynamic Punch 23.986%
Thunder 18.713%
Thief 14.706%
Giga Drain 12.875%
Fire Punch 12.789%
Psychic 11.026%
Haze 7.242%
Confuse Ray 3.921%
Shadow Ball 3.698%
Mean Look 3.630%
Other 17.189%
Teammates
Snorlax 78.993%
Zapdos 70.981%
Cloyster 57.901%
Tyranitar 31.758%
Exeggutor 22.530%
Nidoking 17.942%
Alakazam 16.898%
Golem 15.494%
Jolteon 15.391%
Blissey 14.056%
Jynx 12.138%
Checks and Counters
Raikou
Moves
Rest 93.249%
Hidden Power Ice 60.137%
Sleep Talk 59.703%
Thunder 59.519%
Thunderbolt 40.389%
Roar 36.362%
Hidden Power Water 29.680%
Crunch 7.872%
Other 13.089%
Teammates
Snorlax 89.451%
Cloyster 49.268%
Skarmory 40.458%
Forretress 30.755%
Starmie 27.849%
Golem 27.689%
Zapdos 23.661%
Tyranitar 23.272%
Exeggutor 20.778%
Machamp 14.416%
Gengar 14.073%
Checks and Counters
Exeggutor
Moves
Psychic 95.951%
Explosion 87.057%
Giga Drain 71.222%
Sleep Powder 53.676%
Hidden Power Fire 24.922%
Stun Spore 21.210%
Leech Seed 20.005%
Thief 7.954%
Other 18.004%
Teammates
Snorlax 81.899%
Cloyster 57.146%
Zapdos 54.013%
Gengar 31.718%
Golem 24.271%
Raikou 21.885%
Jolteon 17.233%
Steelix 16.606%
Tyranitar 15.184%
Heracross 14.606%
Vaporeon 12.605%
Checks and Counters
Starmie
Moves
Recover 88.438%
Surf 85.966%
Rapid Spin 81.648%
Psychic 46.705%
Thunder Wave 38.040%
Substitute 13.466%
Thunderbolt 12.159%
Thunder 8.778%
Ice Beam 5.881%
Other 18.920%
Teammates
Snorlax 86.278%
Tyranitar 47.415%
Skarmory 38.807%
Raikou 34.574%
Zapdos 30.682%
Forretress 28.267%
Cloyster 26.818%
Marowak 19.972%
Miltank 12.273%
Jolteon 11.989%
Exeggutor 10.881%
Checks and Counters
Skarmory
Moves
Rest 91.095%
Drill Peck 78.985%
Curse 72.989%
Whirlwind 61.205%
Toxic 46.364%
Sleep Talk 26.121%
Sand Attack 4.898%
Other 18.344%
Teammates
Snorlax 87.326%
Raikou 52.478%
Starmie 40.546%
Tyranitar 36.836%
Forretress 35.530%
Cloyster 25.052%
Zapdos 21.431%
Blissey 18.047%
Misdreavus 14.515%
Jolteon 13.862%
Golem 12.170%
Checks and Counters
Golem
Moves
Earthquake 99.451%
Explosion 92.049%
Rapid Spin 84.163%
Roar 81.836%
Rock Slide 13.316%
Fire Blast 10.052%
Other 19.134%
Teammates
Snorlax 89.367%
Cloyster 73.529%
Zapdos 55.850%
Raikou 39.108%
Exeggutor 32.547%
Gengar 29.250%
Heracross 14.577%
Skarmory 13.251%
Jynx 12.185%
Forretress 9.244%
Machamp 8.985%
Checks and Counters
Forretress
Moves
Spikes 98.036%
Toxic 71.326%
Rapid Spin 62.946%
Explosion 58.527%
Hidden Power Fire 38.691%
Giga Drain 13.977%
Rest 11.424%
Hidden Power Ghost 8.969%
Defense Curl 6.514%
Hidden Power Bug 5.990%
Reflect 5.270%
Other 18.331%
