 Total battles: 47003
 Avg. weight/team: 1.0
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Excadrill          | 29.95022% | 28155  | 29.950% | 21775  | 28.998% | 
 | 2    | Landorus-Therian   | 18.30521% | 17208  | 18.305% | 15214  | 20.261% | 
 | 3    | Clefable           | 16.55533% | 15563  | 16.555% | 12490  | 16.633% | 
 | 4    | Serperior          | 16.41172% | 15428  | 16.412% | 11897  | 15.843% | 
 | 5    | Rotom-Wash         | 13.25660% | 12462  | 13.257% | 10907  | 14.525% | 
 | 6    | Ferrothorn         | 13.17575% | 12386  | 13.176% | 10773  | 14.347% | 
 | 7    | Garchomp           | 12.77472% | 12009  | 12.775% | 10138  | 13.501% | 
 | 8    | Zapdos             | 12.77472% | 12009  | 12.775% | 10194  | 13.576% | 
 | 9    | Heatran            | 12.28326% | 11547  | 12.283% | 9773   | 13.015% | 
 | 10   | Weavile            | 11.44395% | 10758  | 11.444% | 8230   | 10.960% | 
 | 11   | Bisharp            | 11.04185% | 10380  | 11.042% | 7689   | 10.240% | 
 | 12   | Talonflame         | 10.80357% | 10156  | 10.804% | 7860   | 10.467% | 
 | 13   | Metagross-Mega     |  9.94724% | 9351   |  9.947% | 7264   |  9.674% | 
 | 14   | Keldeo             |  9.81746% | 9229   |  9.817% | 7476   |  9.956% | 
 | 15   | Tornadus-Therian   |  9.71321% | 9131   |  9.713% | 7776   | 10.355% | 
 | 16   | Tyranitar          |  9.30260% | 8745   |  9.303% | 7260   |  9.668% | 
 | 17   | Gliscor            |  9.04304% | 8501   |  9.043% | 7129   |  9.494% | 
 | 18   | Volcarona          |  8.08778% | 7603   |  8.088% | 5357   |  7.134% | 
 | 19   | Volcanion          |  7.86439% | 7393   |  7.864% | 6008   |  8.001% | 
 | 20   | Dragonite          |  7.82716% | 7358   |  7.827% | 5139   |  6.844% | 
 | 21   | Scizor-Mega        |  7.74419% | 7280   |  7.744% | 5777   |  7.693% | 
 | 22   | Skarmory           |  7.56654% | 7113   |  7.567% | 6113   |  8.141% | 
 | 23   | Gengar             |  7.49101% | 7042   |  7.491% | 5159   |  6.870% | 
 | 24   | Thundurus          |  7.33357% | 6894   |  7.334% | 5719   |  7.616% | 
 | 25   | Slowbro            |  7.07614% | 6652   |  7.076% | 5276   |  7.026% | 
 | 26   | Lopunny-Mega       |  7.02721% | 6606   |  7.027% | 5258   |  7.002% | 
 | 27   | Chansey            |  6.53043% | 6139   |  6.530% | 4924   |  6.557% | 
 | 28   | Manaphy            |  6.45810% | 6071   |  6.458% | 4582   |  6.102% | 
 | 29   | Latias             |  6.40704% | 6023   |  6.407% | 4559   |  6.071% | 
 | 30   | Azumarill          |  6.19535% | 5824   |  6.195% | 4546   |  6.054% | 
