Rank,Pokemon,Usage %,Raw,%,Real,%
1,Tyranitar,47.06%,214545,47.06%,185415,48.30%
2,Metagross,38.31%,174648,38.31%,146185,38.08%
3,Swampert,32.52%,148273,32.52%,124510,32.43%
4,Skarmory,32.34%,147429,32.34%,136766,35.63%
5,Salamence,29.62%,135047,29.62%,116143,30.25%
6,Gengar,28.22%,128667,28.22%,106291,27.69%
7,Blissey,26.43%,120503,26.43%,103294,26.91%
8,Zapdos,25.92%,118156,25.92%,108187,28.18%
9,Snorlax,23.24%,105976,23.24%,90137,23.48%
10,Celebi,22.81%,104021,22.82%,90774,23.65%
11,Suicune,21.75%,99167,21.75%,82381,21.46%
12,Magneton,21.28%,97010,21.28%,73704,19.20%
13,Dugtrio,19.34%,88192,19.34%,68985,17.97%
14,Starmie,18.13%,82673,18.13%,67527,17.59%
15,Aerodactyl,18.07%,82384,18.07%,63695,16.59%
16,Jirachi,13.39%,61057,13.39%,50176,13.07%
17,Claydol,13.37%,60978,13.37%,49833,12.98%
18,Forretress,10.47%,47720,10.47%,42913,11.18%
19,Jolteon,8.50%,38742,8.50%,32994,8.59%
20,Heracross,8.23%,37532,8.23%,28638,7.46%
21,Charizard,7.70%,35098,7.70%,28189,7.34%
22,Medicham,7.39%,33683,7.39%,30956,8.06%
23,Gyarados,6.44%,29353,6.44%,24973,6.51%
24,Flygon,6.19%,28237,6.19%,23588,6.14%
25,Breloom,5.77%,26318,5.77%,21539,5.61%
26,Moltres,5.67%,25838,5.67%,21293,5.55%
27,Milotic,5.38%,24509,5.38%,20775,5.41%
28,Raikou,4.35%,19848,4.35%,14954,3.90%
29,Marowak,3.94%,17962,3.94%,12751,3.32%
30,Kingdra,3.86%,17586,3.86%,13407,3.49%
31,Hariyama,3.60%,16410,3.60%,15059,3.92%
32,Smeargle,3.53%,16100,3.53%,14585,3.80%
33,Regice,3.42%,15591,3.42%,13339,3.48%
34,Cloyster,3.42%,15586,3.42%,13839,3.61%
35,Ninjask,2.63%,11978,2.63%,11294,2.94%
36,Blaziken,2.55%,11644,2.55%,9993,2.60%
37,Regirock,2.54%,11594,2.54%,10596,2.76%
38,Porygon,2.42%,11055,2.43%,8632,2.25%
39,Ludicolo,2.38%,10848,2.38%,8921,2.32%
40,Registeel,2.32%,10576,2.32%,9274,2.42%
41,Houndoom,2.29%,10457,2.29%,8139,2.12%
42,Alakazam,2.19%,9988,2.19%,7930,2.07%
43,Vaporeon,2.15%,9820,2.15%,8914,2.32%
44,Umbreon,2.04%,9320,2.04%,7806,2.03%
45,Slaking,1.94%,8844,1.94%,8263,2.15%
46,Dusclops,1.81%,8269,1.81%,7060,1.84%
47,Sceptile,1.79%,8171,1.79%,6473,1.69%
48,Machamp,1.63%,7433,1.63%,6259,1.63%
49,Venusaur,1.62%,7390,1.62%,6329,1.65%
50,Jynx,1.57%,7153,1.57%,6960,1.81%
51,Weezing,1.55%,7071,1.55%,6003,1.56%
52,Dragonite,1.40%,6373,1.40%,5273,1.37%
53,Steelix,1.29%,5884,1.29%,5039,1.31%
54,Scizor,1.17%,5347,1.17%,3986,1.04%
55,Glalie,1.17%,5329,1.17%,5183,1.35%
56,Donphan,1.15%,5230,1.15%,4328,1.13%
57,Arcanine,1.02%,4673,1.03%,3893,1.01%
58,Camerupt,0.94%,4306,0.94%,3493,0.91%
59,Armaldo,0.83%,3773,0.83%,3220,0.84%
60,Articuno,0.79%,3583,0.79%,2921,0.76%
61,Exeggutor,0.78%,3547,0.78%,2700,0.70%
62,Gardevoir,0.74%,3374,0.74%,2510,0.65%
63,Blastoise,0.74%,3353,0.74%,2793,0.73%
64,Wailord,0.71%,3221,0.71%,3132,0.82%
65,Pikachu,0.70%,3213,0.71%,2446,0.64%
66,Lanturn,0.67%,3039,0.67%,2629,0.69%
67,Misdreavus,0.59%,2694,0.59%,2212,0.58%
68,Qwilfish,0.58%,2657,0.58%,2141,0.56%
69,Miltank,0.57%,2612,0.57%,2197,0.57%
70,Cradily,0.55%,2495,0.55%,1666,0.43%
71,Quagsire,0.54%,2469,0.54%,2087,0.54%
72,Poliwrath,0.54%,2443,0.54%,1795,0.47%
73,Kabutops,0.52%,2392,0.53%,1650,0.43%
74,Electrode,0.51%,2312,0.51%,1932,0.50%
75,Tauros,0.50%,2273,0.50%,1851,0.48%
76,Sableye,0.46%,2097,0.46%,1750,0.46%
77,Rhydon,0.46%,2094,0.46%,1590,0.41%
78,Lapras,0.43%,1969,0.43%,1612,0.42%
79,Omastar,0.43%,1949,0.43%,1607,0.42%
80,Swellow,0.41%,1888,0.41%,1621,0.42%
81,Roselia,0.41%,1856,0.41%,1543,0.40%
82,Banette,0.41%,1850,0.41%,1517,0.40%
83,Crobat,0.38%,1749,0.38%,1256,0.33%
84,Aggron,0.37%,1691,0.37%,1324,0.35%
85,Nidoking,0.36%,1644,0.36%,1380,0.36%
86,Slowbro,0.33%,1513,0.33%,1258,0.33%
87,Ursaring,0.33%,1494,0.33%,1192,0.31%
88,Espeon,0.32%,1476,0.32%,1229,0.32%
89,Jumpluff,0.31%,1424,0.31%,1217,0.32%
90,Solrock,0.29%,1314,0.29%,1207,0.31%
91,Dodrio,0.29%,1314,0.29%,1076,0.28%
92,Typhlosion,0.28%,1281,0.28%,955,0.25%
93,Linoone,0.28%,1272,0.28%,934,0.24%
94,Hitmontop,0.27%,1244,0.27%,1010,0.26%
95,Lunatone,0.24%,1095,0.24%,900,0.23%
